Player,FGM,FGA,FTM,FTA,3PM,REB,AST,STL,BLK,TO,PTS,MIN,GP,Pos,Team,PosList
Devin Cannady,1.4,3.5,0.8,0.9,0.8,0.6,0.1,0.6,0.1,0.3,4.3,9.3,8.0,PG,,['PG']
John Konchar,1.6,3.2,0.6,0.7,0.5,3.0,1.1,0.7,0.2,0.4,4.3,13.4,43.0,SG,,['SG']
Mike Scott,1.5,4.1,0.2,0.2,1.0,2.4,0.8,0.5,0.3,0.4,4.2,16.7,51.0,PF,,['PF']
DaQuan Jeffries,1.6,3.9,0.2,0.3,0.6,2.3,0.7,0.5,0.3,0.5,4.1,15.9,31.0,SG,,['SG']
DaQuan Jeffries,1.3,3.2,0.3,0.4,0.5,1.6,0.3,0.4,0.2,0.4,3.5,12.9,18.0,SG,,['SG']
DaQuan Jeffries,2.0,4.8,0.1,0.1,0.8,3.2,1.2,0.6,0.5,0.5,4.9,20.1,13.0,SG,,['SG']
Jevon Carter,1.6,3.7,0.1,0.1,0.9,1.5,1.2,0.5,0.2,0.3,4.1,12.0,60.0,PG,,['PG']
Josh Hall,1.4,4.7,1.0,2.1,0.2,2.8,1.3,0.2,0.0,1.2,4.1,16.0,21.0,SF,,['SF']
Kevon Looney,1.8,3.2,0.5,0.8,0.1,5.3,2.0,0.3,0.4,0.6,4.1,19.0,61.0,C,,['C']
Nico Mannion,1.3,3.8,0.8,0.9,0.7,1.5,2.3,0.5,0.0,1.0,4.1,12.1,30.0,PG,,['PG']
Darius Miller,1.2,2.7,0.7,0.7,0.9,1.3,1.2,0.7,0.3,0.4,4.1,10.9,18.0,SF,,['SF']
Lamar Stevens,1.6,3.4,0.9,1.3,0.1,2.4,0.6,0.4,0.3,0.6,4.1,12.5,40.0,PF,,['PF']
Obi Toppin,1.7,3.4,0.3,0.4,0.4,2.2,0.5,0.3,0.2,0.4,4.1,11.0,62.0,PF,,['PF']
Paul Watson,1.4,3.0,0.2,0.3,1.1,1.7,0.6,0.2,0.1,0.3,4.1,11.0,27.0,SF,,['SF']
Jordan Bone,1.6,3.9,0.0,0.0,0.7,1.7,1.3,0.1,0.0,0.2,4.0,14.0,14.0,PG,,['PG']
Chris Chiozza,1.4,4.0,0.6,0.8,0.6,1.1,3.0,0.3,0.3,0.7,4.0,10.5,22.0,PG,,['PG']
Carsen Edwards,1.5,3.6,0.4,0.4,0.6,0.8,0.5,0.2,0.0,0.2,4.0,8.9,31.0,SG,,['SG']
Udonis Haslem,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,C,,['C']
Cody Martin,1.6,3.6,0.5,0.8,0.3,3.1,1.7,0.7,0.2,0.8,4.0,16.3,52.0,SF,,['SF']
Brodric Thomas,1.2,3.4,1.0,1.4,0.5,1.7,0.9,0.5,0.3,0.7,3.9,12.5,32.0,SG,,['SG']
Brodric Thomas,0.5,1.8,1.3,1.8,0.3,1.0,1.0,0.3,0.3,1.0,2.5,6.0,4.0,SG,,['SG']
Brodric Thomas,1.3,3.6,0.9,1.4,0.5,1.8,0.9,0.5,0.3,0.6,4.1,13.4,28.0,SG,,['SG']
Justin James,1.4,3.1,0.6,1.0,0.4,0.8,0.6,0.2,0.1,0.4,3.9,8.6,36.0,SF,,['SF']
Kevin Knox,1.3,3.4,0.4,0.5,0.8,1.5,0.5,0.3,0.1,0.4,3.9,11.0,42.0,SF,,['SF']
Matisse Thybulle,1.6,3.7,0.1,0.3,0.7,1.9,1.0,1.6,1.1,0.5,3.9,20.0,65.0,SG,,['SG']
Dante Exum,1.7,4.3,0.2,0.3,0.3,2.8,2.2,0.7,0.3,1.2,3.8,19.3,6.0,SG,,['SG']
Ersan Ä°lyasova,1.2,3.2,0.3,0.3,1.1,1.7,0.2,0.6,0.2,0.5,3.8,8.7,17.0,PF,,['PF']
Nathan Knight,1.1,3.0,1.3,1.7,0.2,2.2,0.2,0.3,0.3,0.5,3.8,8.5,33.0,PF,,['PF']
Thon Maker,1.3,2.3,1.3,1.4,0.0,2.3,0.5,0.3,0.5,0.4,3.8,9.5,8.0,C,,['C']
Skylar Mays,1.3,3.0,0.7,0.8,0.4,1.1,0.9,0.4,0.1,0.3,3.8,8.2,33.0,SG,,['SG']
Tremont Waters,1.3,3.2,0.6,0.7,0.6,0.8,2.4,0.6,0.0,1.0,3.8,9.2,26.0,PG,,['PG']
P.J. Tucker,1.3,3.4,0.4,0.5,0.8,3.9,1.2,0.8,0.4,0.8,3.7,26.1,52.0,PF,,['PF']
P.J. Tucker,1.5,4.1,0.6,0.7,0.8,4.6,1.4,0.9,0.6,1.0,4.4,30.0,32.0,PF,,['PF']
P.J. Tucker,0.9,2.3,0.2,0.3,0.7,2.8,0.8,0.5,0.1,0.4,2.6,19.9,20.0,PF,,['PF']
Isaiah Joe,1.2,3.2,0.4,0.6,1.0,0.9,0.5,0.3,0.1,0.3,3.7,9.3,41.0,SG,,['SG']
Luka Å amaniÄ,1.4,3.2,0.5,0.9,0.4,2.1,0.5,0.2,0.2,0.6,3.7,9.3,33.0,PF,,['PF']
Javonte Green,1.3,2.5,0.7,1.0,0.2,1.7,0.4,0.7,0.1,0.5,3.6,11.5,41.0,SF,,['SF']
Javonte Green,1.6,2.8,0.8,1.2,0.3,2.1,0.4,0.7,0.1,0.5,4.2,13.8,25.0,SF,,['SF']
Javonte Green,0.9,1.9,0.6,0.6,0.2,1.2,0.4,0.6,0.3,0.4,2.6,8.0,16.0,SG,,['SG']
Luke Kornet,1.4,3.3,0.1,0.2,0.5,2.2,0.8,0.1,1.0,0.2,3.4,11.2,31.0,C,,['C']
Luke Kornet,0.7,2.1,0.2,0.3,0.5,1.2,0.3,0.2,0.5,0.1,2.0,7.2,13.0,C,,['C']
Luke Kornet,1.9,4.1,0.1,0.1,0.5,2.9,1.1,0.1,1.4,0.3,4.4,14.1,18.0,C,,['C']
Wenyen Gabriel,1.1,2.9,0.5,0.8,0.6,2.6,0.5,0.4,0.4,0.7,3.4,11.5,21.0,PF,,['PF']
Paul Reed,1.6,3.0,0.2,0.3,0.0,2.3,0.5,0.4,0.5,0.5,3.4,6.8,26.0,PF,,['PF']
Quinn Cook,1.3,3.0,0.3,0.3,0.5,0.7,0.8,0.2,0.0,0.3,3.3,6.8,23.0,PG,,['PG']
Quinn Cook,0.8,1.6,0.3,0.3,0.3,0.3,0.3,0.1,0.1,0.2,2.1,3.9,16.0,PG,,['PG']
Quinn Cook,2.4,6.0,0.4,0.4,0.9,1.7,1.9,0.4,0.0,0.6,6.1,13.6,7.0,PG,,['PG']
Meyers Leonard,1.0,2.3,0.3,0.7,1.0,2.3,0.7,0.0,0.0,0.7,3.3,9.7,3.0,C,,['C']
Amir Coffey,1.0,2.3,0.6,0.9,0.5,1.0,0.5,0.2,0.0,0.3,3.2,9.0,44.0,SG,,['SG']
Zeke Nnaji,1.2,2.5,0.3,0.4,0.6,1.5,0.2,0.2,0.1,0.2,3.2,9.5,42.0,PF,,['PF']
Killian Tillie,1.1,3.2,0.5,0.6,0.6,1.3,0.4,0.3,0.4,0.1,3.2,10.1,18.0,C,,['C']
Matt Thomas,1.1,2.8,0.3,0.3,0.6,1.0,0.4,0.1,0.0,0.3,3.1,7.2,45.0,SG,,['SG']
Matt Thomas,0.9,2.4,0.2,0.3,0.7,0.8,0.3,0.1,0.0,0.2,2.7,7.4,26.0,SG,,['SG']
Matt Thomas,1.4,3.4,0.3,0.4,0.5,1.2,0.5,0.1,0.0,0.4,3.6,7.1,19.0,SG,,['SG']
Gary Clark,1.0,3.4,0.2,0.3,0.8,2.9,0.8,0.3,0.2,0.4,3.1,16.8,39.0,SF,,['SF']
Gary Clark,1.1,3.7,0.2,0.3,0.9,3.2,0.9,0.3,0.2,0.5,3.4,18.2,35.0,SF,,['SF']
Gary Clark,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,2.0,2.0,SF,,['SF']
Gary Clark,0.0,0.5,0.0,0.0,0.0,1.0,0.5,0.5,0.0,0.0,0.0,6.5,2.0,PF,,['PF']
Ryan Arcidiacono,1.1,2.7,0.3,0.5,0.6,1.5,1.3,0.2,0.0,0.2,3.1,10.2,44.0,PG,,['PG']
Mamadi Diakite,1.1,2.9,0.8,1.0,0.1,2.4,0.6,0.5,0.4,0.2,3.1,10.1,14.0,PF,,['PF']
Anthony Gill,1.2,2.3,0.5,0.6,0.3,2.0,0.4,0.4,0.2,0.3,3.1,8.4,26.0,PF,,['PF']
Romeo Langford,1.2,3.3,0.5,0.7,0.3,1.9,0.7,0.3,0.3,0.6,3.1,15.7,18.0,SG,,['SG']
Alfonzo McKinnie,1.2,2.4,0.3,0.5,0.4,1.4,0.2,0.2,0.0,0.1,3.1,6.6,39.0,SF,,['SF']
Jahmi'us Ramsey,1.2,2.9,0.4,0.4,0.4,0.8,0.5,0.3,0.1,0.2,3.1,7.2,13.0,SG,,['SG']
Cameron Reynolds,1.2,3.6,0.0,0.0,0.6,1.0,0.4,0.0,0.0,0.0,3.0,8.0,5.0,SF,,['SF']
Cameron Reynolds,0.3,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,2.0,3.0,SF,,['SF']
Cameron Reynolds,2.5,8.0,0.0,0.0,1.5,2.5,1.0,0.0,0.0,0.0,6.5,17.0,2.0,SF,,['SF']
NicolÃ² Melli,1.0,3.1,0.4,0.6,0.5,2.7,1.0,0.3,0.1,0.3,3.0,12.6,45.0,PF,,['PF']
NicolÃ² Melli,0.7,2.7,0.3,0.3,0.3,2.6,1.1,0.4,0.0,0.3,2.0,11.0,22.0,PF,,['PF']
NicolÃ² Melli,1.3,3.6,0.6,0.8,0.7,2.8,0.8,0.2,0.1,0.2,4.0,14.1,23.0,PF,,['PF']
Sam Merrill,1.1,2.4,0.1,0.1,0.7,1.0,0.7,0.3,0.0,0.3,3.0,7.8,30.0,SG,,['SG']
Reggie Perry,1.2,3.0,0.4,0.5,0.2,2.8,0.5,0.2,0.2,0.6,3.0,8.1,26.0,PF,,['PF']
Thanasis Antetokounmpo,1.2,2.4,0.4,0.9,0.1,2.2,0.8,0.4,0.2,0.8,2.9,9.7,57.0,SF,,['SF']
Trent Forrest,1.1,2.4,0.6,0.6,0.2,1.5,1.5,0.3,0.1,0.7,2.9,10.1,30.0,PG,,['PG']
Bruno Caboclo,1.3,2.8,0.2,0.3,0.0,2.3,0.2,0.0,0.3,0.7,2.8,6.0,6.0,PF,,['PF']
Matthew Dellavedova,1.1,4.3,0.3,0.3,0.3,1.8,4.5,0.3,0.1,0.5,2.8,17.2,13.0,PG,,['PG']
Harry Giles,1.1,2.6,0.4,0.7,0.2,3.5,0.8,0.2,0.3,0.5,2.8,9.2,38.0,C,,['C']
Kyle Guy,0.9,2.8,0.5,0.6,0.4,1.1,1.0,0.2,0.0,0.4,2.8,7.6,31.0,PG,,['PG']
Markus Howard,1.1,2.9,0.2,0.2,0.5,0.6,0.5,0.1,0.0,0.5,2.8,5.5,37.0,SG,,['SG']
Didi Louzada,1.0,4.3,0.0,0.0,0.7,1.0,1.0,0.7,0.0,1.0,2.7,18.7,3.0,SF,,['SF']
Frank Ntilikina,0.9,2.4,0.2,0.5,0.7,0.9,0.6,0.5,0.1,0.3,2.7,9.8,33.0,PG,,['PG']
Keita Bates-Diop,1.0,2.2,0.5,0.7,0.2,1.6,0.4,0.4,0.2,0.2,2.6,8.2,30.0,SF,,['SF']
Amida Brimah,1.0,1.6,0.6,0.6,0.0,1.6,0.2,0.0,1.0,0.8,2.6,5.8,5.0,C,,['C']
Josh Green,1.1,2.4,0.3,0.6,0.1,2.0,0.7,0.4,0.1,0.4,2.6,11.4,39.0,SG,,['SG']
Grant Riller,1.1,1.7,0.0,0.0,0.3,0.1,0.4,0.1,0.0,0.1,2.6,3.9,7.0,PG,,['PG']
Anderson VarejÃ£o,0.8,3.2,1.0,1.8,0.0,4.0,0.6,0.0,0.4,0.2,2.6,7.2,5.0,C,,['C']
Jordan Bell,1.2,3.7,0.2,0.3,0.0,4.0,1.2,0.5,0.8,0.7,2.5,13.7,6.0,C,,['C']
Jordan Bell,1.4,4.0,0.0,0.0,0.0,3.8,1.0,0.6,0.6,0.6,2.8,13.4,5.0,C,,['C']
Jordan Bell,0.0,2.0,1.0,2.0,0.0,5.0,2.0,0.0,2.0,1.0,1.0,15.0,1.0,C,,['C']
Tacko Fall,1.1,1.5,0.3,0.8,0.0,2.7,0.2,0.1,1.1,0.3,2.5,7.2,19.0,C,,['C']
Rondae Hollis-Jefferson,0.8,1.6,0.8,1.5,0.0,2.4,1.2,0.2,0.4,0.2,2.5,9.7,11.0,PF,,['PF']
Tre Jones,1.0,2.1,0.5,0.5,0.1,0.6,1.1,0.2,0.0,0.4,2.5,7.3,37.0,PG,,['PG']
KZ Okpala,1.0,2.6,0.2,0.4,0.3,1.8,0.5,0.3,0.3,0.4,2.5,12.1,37.0,PF,,['PF']
Gary Payton,1.0,1.3,0.3,0.4,0.2,1.1,0.1,0.6,0.1,0.1,2.5,4.0,10.0,PG,,['PG']
Mfiondu Kabengele,0.8,2.3,0.4,0.5,0.3,1.5,0.4,0.2,0.3,0.4,2.4,7.2,39.0,PF,,['PF']
Mfiondu Kabengele,0.4,1.4,0.2,0.3,0.2,0.6,0.2,0.1,0.1,0.3,1.2,4.1,23.0,PF,,['PF']
Mfiondu Kabengele,1.5,3.6,0.7,0.9,0.6,2.9,0.8,0.4,0.6,0.6,4.3,11.6,16.0,PF,,['PF']
Wes Iwundu,0.8,2.5,0.6,0.8,0.1,2.2,0.4,0.4,0.1,0.5,2.4,13.1,41.0,SF,,['SF']
Wes Iwundu,0.7,2.3,0.5,0.6,0.1,1.9,0.4,0.4,0.1,0.3,2.1,12.5,23.0,SF,,['SF']
Wes Iwundu,0.9,2.8,0.8,0.9,0.1,2.6,0.4,0.3,0.1,0.7,2.8,13.9,18.0,SF,,['SF']
Vernon Carey Jr.,0.9,1.9,0.5,0.6,0.1,1.4,0.1,0.1,0.3,0.3,2.4,6.1,19.0,C,,['C']
Jeremiah Martin,1.0,3.7,0.1,0.6,0.3,0.8,0.4,0.6,0.2,0.7,2.4,8.3,9.0,PG,,['PG']
Rayjon Tucker,0.6,1.3,1.0,1.4,0.1,0.8,0.4,0.1,0.0,0.3,2.4,4.9,14.0,PG,,['PG']
Jarrell Brantley,0.9,1.9,0.1,0.1,0.4,1.0,0.5,0.3,0.1,0.3,2.3,4.9,28.0,PF,,['PF']
CJ Elleby,0.8,2.2,0.4,0.5,0.2,1.1,0.3,0.2,0.1,0.2,2.3,6.4,30.0,SF,,['SF']
Justin Robinson,0.8,2.3,0.3,0.6,0.4,0.8,1.0,0.3,0.0,0.2,2.3,9.8,9.0,PG,,['PG']
Quinndary Weatherspoon,0.8,1.8,0.7,0.8,0.1,0.6,0.4,0.4,0.1,0.5,2.3,6.1,20.0,SG,,['SG']
Bol Bol,0.8,1.8,0.3,0.5,0.3,0.8,0.2,0.1,0.3,0.4,2.2,5.0,32.0,PF,,['PF']
Sean McDermott,0.7,1.8,0.4,0.4,0.3,1.1,0.2,0.1,0.2,0.2,2.2,8.8,18.0,SF,,['SF']
Shaquille Harrison,0.8,2.3,0.5,0.6,0.1,1.4,0.7,0.5,0.1,0.3,2.1,9.8,34.0,SG,,['SG']
Shaquille Harrison,0.4,1.2,0.3,0.4,0.0,0.5,0.5,0.1,0.0,0.3,1.0,3.3,17.0,SG,,['SG']
Shaquille Harrison,1.2,3.4,0.8,0.9,0.2,2.3,0.9,0.9,0.3,0.4,3.3,16.3,17.0,SG,,['SG']
Chris Silva,0.7,1.1,0.7,1.0,0.1,1.8,0.4,0.1,0.4,0.7,2.1,6.1,15.0,PF,,['PF']
Chris Silva,0.8,1.2,1.0,1.4,0.1,2.3,0.5,0.1,0.5,0.8,2.7,7.5,11.0,PF,,['PF']
Chris Silva,0.3,0.8,0.0,0.0,0.0,0.5,0.0,0.0,0.3,0.3,0.5,2.3,4.0,PF,,['PF']
Vlatko ÄanÄar,0.8,1.8,0.2,0.3,0.2,1.2,0.3,0.3,0.0,0.3,2.1,6.9,41.0,PF,,['PF']
Ed Davis,0.8,1.9,0.4,0.5,0.0,5.0,0.9,0.6,0.6,0.3,2.1,13.0,23.0,C,,['C']
Devon Dotson,1.0,1.9,0.0,0.0,0.1,0.5,0.6,0.4,0.0,0.0,2.1,4.5,11.0,PG,,['PG']
Deividas Sirvydis,0.7,2.0,0.2,0.3,0.5,1.5,0.3,0.1,0.0,0.3,2.1,6.7,20.0,SG,,['SG']
Sindarius Thornwell,0.7,2.2,0.2,0.4,0.3,0.9,1.0,0.6,0.1,0.3,2.0,10.3,21.0,SG,,['SG']
Sindarius Thornwell,0.5,1.5,0.0,0.1,0.2,0.4,0.3,0.4,0.1,0.3,1.2,5.2,14.0,SG,,['SG']
Sindarius Thornwell,1.1,3.6,0.6,0.9,0.6,1.9,2.4,1.1,0.1,0.4,3.4,20.6,7.0,SG,,['SG']
Isaac Bonga,0.8,2.0,0.1,0.2,0.3,1.7,0.6,0.3,0.2,0.6,2.0,10.8,40.0,SF,,['SF']
Devontae Cacok,0.9,1.5,0.3,0.6,0.0,1.6,0.1,0.3,0.2,0.3,2.0,4.9,20.0,PF,,['PF']
Nate Hinton,0.7,2.0,0.3,0.5,0.2,0.4,0.4,0.3,0.1,0.2,2.0,4.4,21.0,SG,,['SG']
Jontay Porter,0.7,1.4,0.3,0.5,0.3,1.3,0.1,0.3,0.1,0.6,2.0,4.9,11.0,PF,,['PF']
Jalen Smith,0.8,1.9,0.2,0.3,0.1,1.4,0.1,0.0,0.2,0.3,2.0,5.8,27.0,PF,,['PF']
Ray Spalding,1.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,1.5,2.0,9.5,2.0,C,,['C']
Miye Oni,0.6,1.8,0.1,0.1,0.6,1.6,0.5,0.2,0.1,0.3,1.9,9.6,54.0,SG,,['SG']
Alen SmailagiÄ,0.7,1.8,0.1,0.4,0.3,1.1,0.3,0.2,0.3,0.3,1.9,5.6,15.0,PF,,['PF']
Cassius Winston,0.6,1.5,0.2,0.3,0.4,0.4,0.5,0.1,0.0,0.2,1.9,4.5,22.0,PG,,['PG']
Daniel Oturu,0.7,1.7,0.3,0.4,0.0,1.6,0.3,0.1,0.2,0.3,1.8,5.4,30.0,C,,['C']
Axel Toupane,0.5,1.4,0.6,0.9,0.1,0.8,0.5,0.3,0.4,0.0,1.8,7.6,8.0,SF,,['SF']
Elijah Hughes,0.6,1.7,0.2,0.2,0.4,0.5,0.3,0.1,0.1,0.3,1.7,3.6,18.0,SF,,['SF']
T.J. Leaf,0.7,1.4,0.3,0.3,0.0,0.7,0.1,0.3,0.1,0.3,1.7,5.0,7.0,PF,,['PF']
James Nunnally,0.6,1.4,0.1,0.2,0.4,1.0,0.3,0.0,0.0,0.2,1.7,5.3,9.0,SF,,['SF']
Tim Frazier,0.6,4.0,0.4,1.2,0.0,1.6,3.2,0.4,0.2,0.8,1.6,12.4,5.0,PG,,['PG']
Rodions Kurucs,0.5,1.5,0.1,0.2,0.3,1.1,0.5,0.4,0.2,0.6,1.5,6.0,21.0,PF,,['PF']
Rodions Kurucs,0.2,0.6,0.0,0.0,0.2,0.6,0.4,0.0,0.0,0.0,0.6,3.2,5.0,PF,,['PF']
Rodions Kurucs,0.5,1.9,0.1,0.2,0.2,1.0,0.4,0.5,0.4,0.8,1.2,6.8,11.0,SF,,['SF']
Rodions Kurucs,1.0,1.6,0.4,0.4,0.6,1.8,0.8,0.6,0.0,0.8,3.0,6.8,5.0,SF,,['SF']
Norvel Pelle,0.6,1.2,0.3,0.5,0.0,1.5,0.2,0.1,0.7,0.2,1.5,6.5,13.0,C,,['C']
Norvel Pelle,1.0,2.3,0.0,0.0,0.0,2.3,0.0,0.0,1.0,1.0,2.0,9.3,3.0,C,,['C']
Norvel Pelle,0.0,1.0,3.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,4.0,1.0,C,,['C']
Norvel Pelle,0.6,0.8,0.1,0.2,0.0,1.2,0.1,0.1,0.7,0.0,1.2,5.8,9.0,C,,['C']
Bruno Fernando,0.5,1.3,0.5,0.7,0.0,2.4,0.3,0.1,0.1,0.6,1.5,6.8,33.0,C,,['C']
Cassius Stanley,0.5,1.8,0.3,0.4,0.1,0.8,0.0,0.0,0.1,0.0,1.5,3.9,24.0,SG,,['SG']
Anthony Tolliver,0.4,1.5,0.5,0.5,0.4,0.9,0.2,0.3,0.2,0.3,1.5,9.0,11.0,PF,,['PF']
Robert Woodard,0.6,1.5,0.2,0.6,0.1,1.2,0.2,0.0,0.2,0.1,1.5,3.5,13.0,SF,,['SF']
Nate Darling,0.3,1.0,0.4,0.4,0.3,0.1,0.1,0.0,0.1,0.1,1.3,3.7,7.0,SG,,['SG']
Kris Dunn,0.3,3.0,0.8,1.0,0.0,1.5,0.5,0.5,0.5,0.8,1.3,11.3,4.0,PG,,['PG']
Cristiano FelÃ­cio,0.4,0.7,0.5,0.9,0.0,1.4,0.5,0.2,0.0,0.2,1.3,4.7,18.0,C,,['C']
Jalen Lecque,0.3,2.3,0.8,0.8,0.0,1.3,0.5,0.0,0.0,0.0,1.3,3.0,4.0,PG,,['PG']
Marques Bolden,0.2,0.5,0.8,1.3,0.0,1.0,0.0,0.3,0.3,0.3,1.2,4.8,6.0,C,,['C']
Juwan Morgan,0.5,1.0,0.1,0.2,0.1,1.0,0.3,0.1,0.0,0.1,1.2,5.1,29.0,PF,,['PF']
Andre Roberson,0.4,2.8,0.2,0.4,0.2,3.0,0.8,0.6,0.2,0.4,1.2,12.6,5.0,SG,,['SG']
Udoka Azubuike,0.3,0.6,0.5,0.7,0.0,0.9,0.0,0.1,0.3,0.2,1.1,3.8,15.0,C,,['C']
Karim ManÃ©,0.3,1.3,0.4,0.5,0.1,1.4,0.4,0.0,0.2,0.3,1.1,8.8,10.0,PG,,['PG']
Adam Mokoka,0.5,1.4,0.0,0.1,0.1,0.4,0.4,0.1,0.1,0.4,1.1,4.0,14.0,SG,,['SG']
Tyler Bey,0.4,1.2,0.2,0.3,0.1,1.1,0.2,0.0,0.1,0.2,1.0,3.9,18.0,SF,,['SF']
Malik Fitts,0.3,1.0,0.0,0.0,0.3,1.0,0.0,0.0,0.0,0.0,1.0,3.7,3.0,PF,,['PF']
Patrick McCaw,0.2,0.2,0.6,0.6,0.0,0.6,0.8,0.4,0.0,0.0,1.0,6.6,5.0,SF,,['SF']
Iman Shumpert,0.5,2.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.5,1.0,5.5,2.0,SG,,['SG']
Tyrell Terry,0.5,1.5,0.1,0.3,0.0,0.5,0.5,0.5,0.0,0.2,1.0,5.1,11.0,PG,,['PG']
Kostas Antetokounmpo,0.2,0.7,0.4,0.9,0.0,1.3,0.1,0.1,0.3,0.7,0.8,3.7,15.0,PF,,['PF']
Vincent Poirier,0.3,1.2,0.2,0.6,0.0,1.4,0.2,0.0,0.3,0.4,0.8,3.9,10.0,C,,['C']
Nick Richards,0.2,0.5,0.4,0.6,0.0,0.6,0.1,0.0,0.0,0.2,0.8,3.5,18.0,PF,,['PF']
Keljin Blevins,0.3,1.2,0.0,0.0,0.1,0.6,0.2,0.1,0.0,0.3,0.7,4.4,17.0,SF,,['SF']
Ty-Shon Alexander,0.2,0.8,0.1,0.1,0.1,0.7,0.4,0.0,0.1,0.2,0.6,3.1,15.0,SG,,['SG']
Brian Bowen,0.2,0.7,0.2,0.2,0.0,0.5,0.0,0.0,0.0,0.0,0.5,2.5,6.0,SF,,['SF']
Jared Dudley,0.2,0.8,0.0,0.0,0.2,1.8,0.4,0.1,0.1,0.2,0.5,6.8,12.0,PF,,['PF']
Jared Harper,0.0,0.5,0.4,0.5,0.0,0.3,0.1,0.0,0.0,0.4,0.4,2.0,8.0,PG,,['PG']
Jaylen Adams,0.1,1.1,0.0,0.0,0.0,0.4,0.3,0.0,0.0,0.0,0.3,2.6,7.0,PG,,['PG']
Terrance Ferguson,0.1,0.5,0.0,0.0,0.0,0.1,0.2,0.1,0.0,0.3,0.2,3.8,13.0,SG,,['SG']
Theo Pinson,0.1,0.5,0.0,0.0,0.0,0.3,0.1,0.0,0.0,0.1,0.1,2.0,17.0,SG,,['SG']
Ashton Hagans,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,2.0,2.0,PG,,['PG']
Will Magnay,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,C,,['C']
AnÅ¾ejs PaseÄÅiks,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,6.0,1.0,C,,['C']
Noah Vonleh,0.0,0.8,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.5,0.0,2.8,4.0,C,,['C']
Greg Whittington,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,PF,,['PF']
League Average,,,,,,,,,,,,,,,,['NAN']
